Corrida,seed,best_binary_vector,precision_full,recall_full,f1_full,precision_pso,recall_pso,f1_pso,num_features_pso,rd_pso,best_fitness_final,tiempo_ejecucion
18,18,100110011010100000010111010101,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9532163742690059,0.9722222222222222,0.963302752293578,14,0.5333333333333333,0.05916666666666667,2.665924549102783
19,19,100010000001010000010110101010,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9590643274853801,0.9629629629629629,0.9674418604651163,10,0.6666666666666667,0.06374999999999997,2.7286806106567383
20,20,100010000010010000101100010000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9590643274853801,0.9814814814814815,0.9680365296803652,8,0.7333333333333334,0.04250000000000002,2.7127623558044434
21,21,000001101110110000000001010110,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9239766081871345,0.9351851851851852,0.9395348837209302,11,0.6333333333333333,0.060416666666666646,2.7015774250030518
22,22,010011100011010000010001110000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9649122807017544,0.9629629629629629,0.9719626168224299,11,0.6333333333333333,0.05250000000000001,2.7267115116119385
23,23,000100110111010000000101000000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9473684210526315,0.9537037037037037,0.958139534883721,9,0.7,0.05374999999999998,2.761644124984741
24,24,000010001011110000001000111100,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9532163742690059,0.9537037037037037,0.9626168224299065,11,0.6333333333333333,0.04583333333333335,2.731720447540283
25,25,000110000000100000000111010000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9590643274853801,0.9629629629629629,0.9674418604651163,7,0.7666666666666666,0.04124999999999995,2.757628917694092
26,26,001010010110010000000110111000,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9649122807017544,0.9722222222222222,0.9722222222222222,11,0.6333333333333333,0.05250000000000001,2.748309373855591
27,27,100010010010100100000101010001,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9649122807017544,0.9722222222222222,0.9722222222222222,10,0.6666666666666667,0.04916666666666668,2.723719835281372
28,28,011010110111000011100100011010,0.9590643274853801,0.9722222222222222,0.967741935483871,0.9590643274853801,0.9722222222222222,0.967741935483871,15,0.5,0.07041666666666663,2.713780164718628
