iteracion,mejor_fitness,error_knn,pct_reduccion,num_caracteristicas,diversidad_poblacion
85,0.04916666666666668,0.0625,0.2,6,1.3098921435390438
86,0.04916666666666668,0.0625,0.2,6,1.3098921435390438
87,0.04916666666666668,0.0625,0.2,6,1.2752489175626214
88,0.04916666666666668,0.0625,0.2,6,1.2752489175626214
89,0.04916666666666668,0.0625,0.2,6,1.2752489175626214
90,0.04916666666666668,0.0625,0.2,6,1.1658423983779607
91,0.04916666666666668,0.0625,0.2,6,1.0878644517235025
92,0.04916666666666668,0.0625,0.2,6,0.9946730332012587
93,0.04916666666666668,0.0625,0.2,6,0.9946730332012587
94,0.04583333333333335,0.0625,0.2,6,0.9939706429258821
95,0.04583333333333335,0.0625,0.2,6,0.9939706429258821
96,0.04583333333333335,0.0625,0.2,6,0.9939706429258821
97,0.04583333333333335,0.0625,0.2,6,0.9939706429258821
