Corrida,seed,best_binary_vector,precision_full,recall_full,f1_full,precision_pso,recall_pso,f1_pso,num_features_pso,rd_pso,best_fitness_final,tiempo_ejecucion
10,10,01011100010010000000000100000100000000001101101011010010000010001100000001000000011000000010001000000000010000000111000000100000100000000001000000000000110000001100000101001000011110010010000000001000000000001000000100001100000100000000001001100100000000010000010010100001000000000100100000000001000001101000010000100000110101000000100010100000001010101100000100000000000000010001000010000000101110001011000010001010100000010001000001000100001000000010000100000100001000110001010000110100001001101000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6217948717948718,0.6212121212121212,0.625158831003812,115,0.77,0.27612527472527476,144.85947012901306
11,11,01001010001000000000000001000000000000000001100010000000000000000100000000000000100100100011100000000100000110000000010010000000000101000010000000000010010010000000110100011000000000000100000001000000101000001000000000010000001000000010010001010000011000000001000000000000100100101100010000000000000100000000010000010001000000100001000001001100000010000000000100100001000000000110000000001000000010000100010100011011000001100111000000000010000000010000010000000000010000001000001001000000010000100100,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5987179487179487,0.6439393939393939,0.6196840826245443,90,0.8200000000000001,0.3033956043956044,122.59482741355896
12,12,00100100000000000000000000010000000000000000001010001000000000000000000001001011000000000010100000000000000000000000000000001000000100000101000100000000000000000010100000000000000000001000000010000100001000000000000000001000000000001000000001001100000000000000000000000010000010000000000000000000000000000000001001011010000001100010000000000000010000000000000000000000000000000001000011001000100000000100000000011101000000000000000001000100110000110101000000000000000100010000000000010000000000000000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5653846153846154,0.6742424242424242,0.6116838487972509,60,0.88,0.30106813186813186,117.08305311203003
13,13,00000001100000001000000000000000010001100000110010100000000000000100100000000000000011000000000000010000001000010000000000000000100000000000000000000000100000001010110000000000000000101000000010000000000000000000000001000000000000000000000001110000000001000000000100000000001110000000000000000000010000000000000001100010000000000000010010100000000000110000000000000000001000000000000011100000000000000000010000000110000000000000000000000000000000000010000000000000000100000100000000000000000000000000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5807692307692308,0.5227272727272727,0.5587044534412956,54,0.892,0.2851604395604395,119.27718734741211
14,14,00000100101000000100000000000000110000001000000000100100000011001010000100010000101000010000000000000000100100000000110000000000000100000100000000010000000100101010000000000000001100000010110000010000100000000000001000000000000000000000000100001000000000000000000110000000000010000000010000000000000000000000000100000100000000000001000000100000001000001000000010001100000010000010000000000000000000010000000101000110100000000000000000101000011000100001000000000000101000010000000000000000001000000000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5435897435897435,0.6515151515151515,0.591743119266055,70,0.86,0.31510329670329673,123.3443169593811
15,15,01010000101000000000000010000000001000000010000010000000000010001001000010000000000010100000000001101000000000010000000100001000000000010100000000000010000000100001000000101000100000000000101100001010000101101000000000010000010100010010000100010110001000000000000100000001000000000000000100000000001000011010000000000110000001000000110001010000000000000010000001001000100001101000001000100000001000000011100001000000000100100000000010011000000000000100010101000000000000011001000011000000000101100000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5858974358974359,0.5934343434343434,0.592686002522068,92,0.8160000000000001,0.31121318681318677,127.74455499649048
16,16,00000001000000000011000110000000000000110000100011000001000000100000110000000000010000100000000000000000110000000000100000100010001100001000001110000000000101000000000010010000000000000000010001000000000010100001011101000000000100000010000000000000000000100110000000000000000000000110010000000000000000010000010000100000011110000100000000001000000000000000000100000100000100000000000100000110100100010000000000000101000000001000110001001011000000000010110000000000001000001001001011100000000000010010,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5782051282051283,0.5328282828282829,0.5619174434087882,87,0.8260000000000001,0.30406813186813186,119.65717220306396
17,17,01000000000000000000101000000010001000000000100011100001011010001100100001000000000000000100111000010000010100000010000001000100001100100000000000010101001000000000110111110100010000010000000000001000101100000001000000010000000000110011100011001000000010000000100011000000000000010100001000000000000000011000000100000010010000001000100110101001000010100000000100000000100001000001010000000000000000000000000001000000000000000000000110010111001000000000000000001001011000000001001000001000010000100010,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5961538461538461,0.6414141414141414,0.6172539489671932,102,0.796,0.2826153846153846,126.82800507545471
18,18,00000001000000100010000000101000011000000000011010010101011001001100100000011010001110000001100000000000000011000000001100000010100000000010000010011100100010100001000000110000000000001011101010001000000000100010000000001000000000010000100101000001000000001000000010001000000000100000000000100001011000000000000110001001010001000000000100000000001010000000000000001000000100000010000000000100000000000000000000011000000010000000010001000000001000000000000000010101100010011001000100000000000001000010,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6038461538461538,0.6414141414141414,0.6217870257037944,97,0.806,0.26650769230769233,122.08615207672119
19,19,00000000000001000001000000000000000000001001001010000100100000100010110000010000010000101001100100010000001000000100010000000011000000001000001000010010000100000100010000000000001000100000000010001000000010000010010000001010000000000001111010000001000000000001100011000000000010010001000000000101000001000100000000100001000101000000100000000101110110000001100000000100000011010000000000101001000101001011111100010000001001001001000000001000000001000101010000000100000001111000000000110000000000000000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5487179487179488,0.6868686868686869,0.6071428571428571,104,0.792,0.31775824175824174,127.57329368591309
20,20,01100000000000000000100101000000000100010000000000100011000010010110100000000000000000000000000010000001110001000000001000001000000000000010000001000010010000000000001000100100010000000001000000000000000000000010110010000010000000000101100001101011100100001001000000000000010001000100000010101110001000000010010110010100000000000000000010010000000000000100000000000001010001000000010000000100001000000001000001000000000010010000010000000000001000100000000101000000000000100000000000001001010110000011,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5602564102564103,0.5732323232323232,0.5696361355081556,89,0.8220000000000001,0.3234483516483517,129.98370051383972
21,21,00110000000000000000000001000000000000000000000110000000000000000000100000000001000100100110100010100000000000100000000000000000001001000000000001100000010001000000000001010000011001000000010100100011000000100000000101001000000001100010000011000000000000000000000011000001000000100010100000001000000001011010000000000001000010001000000000100000000010000000000000011000001001000010000000000000001000100100001000001101000100000000000001001100000000000000010000000100001000010000001000000001000001100000,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5961538461538461,0.6616161616161617,0.6245530393325387,80,0.84,0.2797428571428571,123.6451199054718
22,22,10000000010001000001000010011000000101010010100010010011000000001000100011010000000101000000000010010000010000001000010000000000000000110000101000010000110010010000000010000100000000101101010010011101000000100001100100101100000000010001000001001010011001010000110111010000000000010100010000001100010000011000000010000010011110011010000001100000000000010010010000100000101000000010000001000101100000101000011001000010000000000000000101101001000011000011111111000011100000111101000011000010000000100110,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6102564102564103,0.5454545454545454,0.5869565217391305,136,0.728,0.2639626373626373,130.86167311668396
23,23,01001000010000000000010000001000100011000000000010000000110000001100000000000000000000000000000000100000100001000000001010000100000000001000000000001010000011000000000110000001001100000010000001001000000000000010000010000100000000010010001101000000100100000001000100100000000000100000000000000000010100000000000000001000001100000000000010000000110000100000000000001000001100000010010000000000000101100000000001000001000000000000000001000000000000000000000000100001010000010001100000000000000000000001,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6243589743589744,0.6540404040404041,0.6387176325524044,73,0.854,0.29130549450549453,119.13588452339172
24,24,00000000000110000000000000100000100000100100000010001010000000111100100000010000000100000000000000100100000000000110000000000000000000101000000000000000010000000000001000000000100100000001100000000000000000000000000000001000000000000000000000000000000000000000000000000111000010000000000010000000000000010000000000000010010100100000000001010000001010000001000000000000000001000000010001011000000001000000000000000000000100000000001000000000000000000010001000000010000000000001000001010010010001000100,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5692307692307692,0.5883838383838383,0.5810473815461347,62,0.876,0.2999956043956044,120.70968890190125
25,25,00010000000010010000000010001000000001110000101000000010000000000101000000000000000000110100000000000000000001100000010001000010100000000000000000000000000000011000000000000000000001000000000001000000000000000000001010000001000000000000000001001100000000001000000001000000100000000010001000100100000000000001000000000000000000000000011010000001000000000000000000100000000010000000101000000000000100000100000000100000000000000000100001011101100000101001110100010000010010001001000110000000010111000010,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.6346153846153846,0.6363636363636364,0.6387832699619772,76,0.848,0.28141538461538457,121.15217614173889
26,26,00010000000000100000010000000000000000000100010010000000000000000010100000001000001000011000010010101010010000000101000000000000101100000000000000000110000000000001010000000000010000000101010000000111000100010000000000000000000000010010000000000000100000000000010011001000000100000001000000001000001000010000000100010010001000000001000010000000000000001000000000011000000000000000000000000000000000000000000000000010011000000000001000000000001011000000000000010000001000100001000000101100000000001010,0.5371794871794872,0.6717171717171717,0.5957446808510638,0.5615384615384615,0.6540404040404041,0.6023255813953489,73,0.854,0.3078131868131868,118.607990026474
