iteracion,mejor_fitness,error_knn,penalizacion_tamano,num_caracteristicas,diversidad_poblacion
125,0.27792527472527473,0.35439560439560436,0.236,118,0.9191755635846351
126,0.27792527472527473,0.35439560439560436,0.236,118,0.9154935288641637
127,0.27792527472527473,0.35439560439560436,0.236,118,0.9093713767300141
128,0.27792527472527473,0.35439560439560436,0.236,118,0.9190348374209282
129,0.27792527472527473,0.35439560439560436,0.236,118,0.9149810709077011
130,0.27792527472527473,0.35439560439560436,0.236,118,0.9119869710852847
131,0.27792527472527473,0.35439560439560436,0.236,118,0.9081602320789457
132,0.27792527472527473,0.35439560439560436,0.236,118,0.9014586846185426
133,0.27792527472527473,0.35439560439560436,0.236,118,0.9058169021458488
134,0.27792527472527473,0.35439560439560436,0.236,118,0.9127271501306511
135,0.27792527472527473,0.35439560439560436,0.236,118,0.899372139818898
136,0.27792527472527473,0.35439560439560436,0.236,118,0.8972042243095569
137,0.27792527472527473,0.35439560439560436,0.236,118,0.8967381615619727
138,0.27792527472527473,0.35439560439560436,0.236,118,0.9014667478709397
139,0.27792527472527473,0.35439560439560436,0.236,118,0.8899586513795514
140,0.27792527472527473,0.35439560439560436,0.236,118,0.8852678306634616
141,0.27792527472527473,0.35439560439560436,0.236,118,0.8894644283579679
142,0.27792527472527473,0.35439560439560436,0.236,118,0.8920616955063846
143,0.27792527472527473,0.35439560439560436,0.236,118,0.8905167223647216
144,0.27792527472527473,0.35439560439560436,0.236,118,0.8819789196884439
145,0.27792527472527473,0.35439560439560436,0.236,118,0.8784708147071648
146,0.27759780219780217,0.35439560439560436,0.23,115,0.8847556956755539
147,0.27759780219780217,0.35439560439560436,0.23,115,0.8931542220011156
148,0.27759780219780217,0.35439560439560436,0.23,115,0.9173265230963189
149,0.27759780219780217,0.35439560439560436,0.23,115,0.9110383147260052
150,0.27759780219780217,0.35439560439560436,0.23,115,0.9153578147845914
151,0.27759780219780217,0.35439560439560436,0.23,115,0.9132689071977242
152,0.27759780219780217,0.35439560439560436,0.23,115,0.9042786694084932
153,0.27759780219780217,0.35439560439560436,0.23,115,0.9039646198391184
154,0.27759780219780217,0.35439560439560436,0.23,115,0.9049317261703459
155,0.27759780219780217,0.35439560439560436,0.23,115,0.8979146376601164
156,0.27759780219780217,0.35439560439560436,0.23,115,0.8883085044876018
157,0.27759780219780217,0.35439560439560436,0.23,115,0.8941283843249658
158,0.27759780219780217,0.35439560439560436,0.23,115,0.8903759249346939
159,0.27759780219780217,0.35439560439560436,0.23,115,0.8855120764909489
160,0.27759780219780217,0.35439560439560436,0.23,115,0.8899755609302348
161,0.27759780219780217,0.35439560439560436,0.23,115,0.8848577921120696
162,0.27759780219780217,0.35439560439560436,0.23,115,0.8784870522145186
163,0.27759780219780217,0.35439560439560436,0.23,115,0.8801481627912524
164,0.27612527472527476,0.3489010989010989,0.216,108,0.874988180834622
165,0.27612527472527476,0.3489010989010989,0.216,108,0.8919936283519155
166,0.27612527472527476,0.3489010989010989,0.216,108,0.9168686286101456
167,0.27612527472527476,0.3489010989010989,0.216,108,0.9008205695700249
168,0.27612527472527476,0.3489010989010989,0.216,108,0.9085525892180817
169,0.27612527472527476,0.3489010989010989,0.216,108,0.9084558408503112
170,0.27612527472527476,0.3489010989010989,0.216,108,0.9069356243701195
171,0.27612527472527476,0.3489010989010989,0.216,108,0.8940642276991685
172,0.27612527472527476,0.3489010989010989,0.216,108,0.8951053412688446
173,0.27612527472527476,0.3489010989010989,0.216,108,0.8877766875258921
174,0.27612527472527476,0.3489010989010989,0.216,108,0.8905513099113862
175,0.27612527472527476,0.3489010989010989,0.216,108,0.8888640314845812
176,0.27612527472527476,0.3489010989010989,0.216,108,0.8864973541803264
177,0.27612527472527476,0.3489010989010989,0.216,108,0.8859507065538925
178,0.27612527472527476,0.3489010989010989,0.216,108,0.8846752750408592
179,0.27612527472527476,0.3489010989010989,0.216,108,0.8825258876069033
180,0.27612527472527476,0.3489010989010989,0.216,108,0.8807818396126648
181,0.27612527472527476,0.3489010989010989,0.216,108,0.877132699360292
182,0.27612527472527476,0.3489010989010989,0.216,108,0.876277817030474
183,0.27612527472527476,0.3489010989010989,0.216,108,0.8730592288250885
184,0.2759252747252747,0.2939560439560439,0.218,109,0.8727269985273878
185,0.2759252747252747,0.2939560439560439,0.218,109,0.8711345745268896
186,0.2759252747252747,0.2939560439560439,0.218,109,0.8963193807679551
187,0.2759252747252747,0.2939560439560439,0.218,109,0.8755062948790031
188,0.2759252747252747,0.2939560439560439,0.218,109,0.8791543766965358
189,0.2759252747252747,0.2939560439560439,0.218,109,0.8795259253265464
190,0.2759252747252747,0.2939560439560439,0.218,109,0.867848567843201
191,0.2759252747252747,0.2939560439560439,0.218,109,0.8658918421892361
192,0.2759252747252747,0.2939560439560439,0.218,109,0.8658875841762806
193,0.27345274725274726,0.3159340659340659,0.21,105,0.8569093821616375
194,0.27345274725274726,0.3159340659340659,0.21,105,0.8665385778596845
195,0.27345274725274726,0.3159340659340659,0.21,105,0.892607168787736
