iteracion,mejor_fitness,error_knn,pct_reduccion,num_caracteristicas,diversidad_poblacion
86,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,0.9567298949482753
87,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,0.9257874303656961
88,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,0.9816157395712451
89,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,0.9591543092733762
90,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,0.9607865170753171
91,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,0.9366466231610592
92,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,0.9398671400289624
93,0.06374999999999997,0.03749999999999998,0.3333333333333333,10,0.9418543539479879
94,0.06374999999999997,0.03749999999999998,0.3333333333333333,10,0.9638551765006266
95,0.06374999999999997,0.03749999999999998,0.3333333333333333,10,0.9827598701742116
